,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle
0,tandemx,36605,59215.09863832174,2459215.5986383217,1105.2029857692576,-687.155198474597,6753.596785207014
1,tandemx,36605,59215.43307505781,2459215.933075058,-2136.1804493536247,-1285.9938526352166,6410.938540521806
2,tandemx,36605,59215.43307505781,2459215.933075058,-2136.1804493536247,-1285.9938526352166,6410.938540521806
3,tandemx,36605,59215.82774884254,2459216.3277488425,-1798.7115467243966,-1247.031100498748,6520.829568014565
4,tandemx,36605,59215.82774884254,2459216.3277488425,-1798.7115467243966,-1247.031100498748,6520.829568014565
5,tandemx,36605,59216.14955901634,2459216.6495590163,2929.3428358432716,-209.10281293365225,6220.573970596675
6,tandemx,36605,59216.49494947912,2459216.994949479,-5943.235326352927,-1711.800038487401,3025.6062454266544
7,tandemx,36605,59216.49494947912,2459216.994949479,-5943.235326352927,-1711.800038487401,3025.6062454266544
8,tandemx,36605,59216.81792957196,2459217.317929572,-3068.6855046290366,-1495.2027866861108,5972.959488603523
9,tandemx,36605,59216.81792957196,2459217.317929572,-3068.6855046290366,-1495.2027866861108,5972.959488603523
10,tandemx,36605,59217.13822583342,2459217.6382258334,2553.3260729612202,-268.7689897152267,6381.431195950526
11,tandemx,36605,59217.54238370387,2459218.042383704,-2996.480880267805,-1524.6690110112925,6001.974596421303
12,tandemx,36605,59217.54238370387,2459218.042383704,-2996.480880267805,-1524.6690110112925,6001.974596421303
13,tandemx,36605,59217.868455590215,2459218.36845559,-1003.9815625154521,-1151.4754778441443,6706.1783298705195
14,tandemx,36605,59217.868455590215,2459218.36845559,-1003.9815625154521,-1151.4754778441443,6706.1783298705195
15,tandemx,36605,59218.202195335645,2459218.7021953356,-3605.5316946464145,-1663.9178076267497,5618.7480574820665
16,tandemx,36605,59218.530692557804,2459219.030692558,-3131.032366246277,-1604.7366986186835,5912.167912736413
17,tandemx,36605,59218.530692557804,2459219.030692558,-3131.032366246277,-1604.7366986186835,5912.167912736413
18,tandemx,36605,59218.85676060198,2459219.356760602,-1156.227485486942,-1209.2148639701663,6671.503263819749
