,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle
2973,2973,technosat,42829,59524.89882064797,2459525.398820648,-6905.5075595321605,918.1989404879032,14.424114280591777
2974,2974,technosat,42829,59525.43556445604,2459525.935564456,-6913.204032085095,857.0534103641764,14.446140379940562
2975,2975,technosat,42829,59525.569750347175,2459526.069750347,-6915.044823236844,841.7586788430445,14.441438327435508
2976,2976,technosat,42829,59525.569750347175,2459526.069750347,-6915.044823236844,841.7586788430445,14.441438327435508
2977,2977,technosat,42829,59526.106493495405,2459526.6064934954,-6922.074517365818,780.5359730295556,14.47234609877828
2978,2978,technosat,42829,59526.37486501178,2459526.874865012,-6925.387794666706,749.9073699223475,14.477452839595117
2979,2979,technosat,42829,59527.04579329863,2459527.5457932986,-6933.092661074852,673.2662100608442,14.49838236561073
2980,2980,technosat,42829,59527.04579329863,2459527.5457932986,-6933.092661074852,673.2662100608442,14.49838236561073
2981,2981,technosat,42829,59527.85090681724,2459528.350906817,-6941.235652742793,581.1981107156975,14.524753365576494
2982,2982,technosat,42829,59528.05218511587,2459528.552185116,-6943.082513735846,558.1609936070982,14.520726855037422
2983,2983,technosat,42829,59528.05218511587,2459528.552185116,-6943.082513735846,558.1609936070982,14.520726855037422
2984,2984,technosat,42829,59528.38764880784,2459528.887648808,-6945.992730088143,519.759211193522,14.529499466449955
2985,2985,technosat,42829,59528.52183439816,2459529.021834398,-6947.099563103759,504.396562770219,14.531074322161766
2986,2986,technosat,42829,59529.12566908542,2459529.6256690854,-6951.667131360382,435.2319231790703,14.544343778728509
2987,2987,technosat,42829,59529.52822555555,2459530.028225556,-6954.333709060209,389.1023979934576,14.54557128089821
2988,2988,technosat,42829,59529.595318287145,2459530.095318287,-6954.749709853247,381.4082417498778,14.559014674566926
2989,2989,technosat,42829,59529.796596481465,2459530.296596481,-6955.94690531467,358.3281768707994,14.54462842023903
2990,2990,technosat,42829,59529.93078189809,2459530.430781898,-6956.702992981287,342.9451181487539,14.547643033903327
2991,2991,technosat,42829,59530.13206011569,2459530.632060116,-6957.768161593324,319.86217711939605,14.559100465062564
2992,2992,technosat,42829,59530.19915290503,2459530.699152905,-6958.10762966255,312.17498156573663,14.56048264756028
2993,2993,technosat,42829,59530.60170917818,2459531.101709178,-6959.973805161284,266.0079998862764,14.565431368483864
2994,2994,technosat,42829,59530.60170917818,2459531.101709178,-6959.973805161284,266.0079998862764,14.565431368483864
2995,2995,technosat,42829,59530.87008003472,2459531.3700800347,-6961.055074815713,235.2126447962884,14.574426337891662
2996,2996,technosat,42829,59531.071358194575,2459531.5713581946,-6961.772729674148,212.1265185303085,14.567208009745068
2997,2997,technosat,42829,59531.40682180552,2459531.906821805,-6962.801509890439,173.63070912331366,14.569410489871863
2998,2998,technosat,42829,59531.5410071644,2459532.0410071644,-6963.154118095551,158.23467712996614,14.579934386018763
2999,2999,technosat,42829,59531.87647070596,2459532.376470706,-6963.893328578803,119.73207340711826,14.578290586445146
3000,3000,technosat,42829,59531.87647070596,2459532.376470706,-6963.893328578803,119.73207340711826,14.578290586445146
3001,3001,technosat,42829,59532.41321231472,2459532.9132123147,-6964.637661182723,58.13158527901415,14.577489842621354
3002,3002,technosat,42829,59532.41321231472,2459532.9132123147,-6964.637661182723,58.13158527901415,14.577489842621354
3003,3003,technosat,42829,59533.08413908584,2459533.584139086,-6964.818025498813,-18.873252421532964,14.57942429761865
3004,3004,technosat,42829,59533.41960247699,2459533.919602477,-6964.592366128283,-57.38083859124136,14.582472476364304
3005,3005,technosat,42829,59533.41960247699,2459533.919602477,-6964.592366128283,-57.38083859124136,14.582472476364304
3006,3006,technosat,42829,59533.88925085636,2459534.3892508564,-6963.92618085597,-111.27393406954022,14.582727340632546
3007,3007,technosat,42829,59534.09052872704,2459534.590528727,-6963.517280429289,-134.37837005108037,14.5784278953963
3008,3008,technosat,42829,59534.1576212151,2459534.657621215,-6963.3634249164015,-142.08275004205956,14.583251656430486
3009,3009,technosat,42829,59534.56017687498,2459535.060176875,-6962.266484997777,-188.2739063977804,14.57176993922
3010,3010,technosat,42829,59534.62726944452,2459535.1272694445,-6962.055000743601,-195.96417266233192,14.58095907385456
3011,3011,technosat,42829,59534.89563984936,2459535.3956398494,-6961.1230439102255,-226.7525242418573,14.575759268114032
3012,3012,technosat,42829,59535.09691753471,2459535.5969175347,-6960.338570211177,-249.83359801417544,14.582285679062734
3013,3013,technosat,42829,59535.16401002323,2459535.664010023,-6960.05971894201,-257.53563210758824,14.578036918664049
3014,3014,technosat,42829,59535.16401002323,2459535.664010023,-6960.05971894201,-257.53563210758824,14.578036918664049
3015,3015,technosat,42829,59535.63365782425,2459536.133657824,-6957.873754427716,-311.38842943671983,14.57639226912955
3016,3016,technosat,42829,59535.90202792827,2459536.4020279283,-6956.43926056978,-342.1569218563218,14.575396413339982
3017,3017,technosat,42829,59536.03621292813,2459536.536212928,-6955.674697579848,-357.5389529806606,14.574576294621451
3018,3018,technosat,42829,59536.37167540519,2459536.871675405,-6953.611899585815,-395.99248469434417,14.57108596713233
3019,3019,technosat,42829,59536.5729529052,2459537.072952905,-6952.275243530627,-419.0506741432788,14.559217870432276
3020,3020,technosat,42829,59536.5729529052,2459537.072952905,-6952.275243530627,-419.0506741432788,14.559217870432276
3021,3021,technosat,42829,59537.042600185145,2459537.542600185,-6948.86481067458,-472.8398257799368,14.560210048136453
3022,3022,technosat,42829,59537.445154884364,2459537.9451548844,-6945.613457944776,-518.9282432616195,14.561305209947696
3023,3023,technosat,42829,59537.445154884364,2459537.9451548844,-6945.613457944776,-518.9282432616195,14.561305209947696
3024,3024,technosat,42829,59537.84770946764,2459538.347709468,-6942.065049726486,-564.9978162101079,14.540617236117512
3025,3025,technosat,42829,59538.04898672458,2459538.5489867246,-6940.176819548911,-588.0146777648393,14.552261312429962
3026,3026,technosat,42829,59538.38444877323,2459538.884448773,-6936.862637215809,-626.3705891954578,14.5383042929644
3027,3027,technosat,42829,59538.38444877323,2459538.884448773,-6936.862637215809,-626.3705891954578,14.5383042929644
3028,3028,technosat,42829,59538.585725995246,2459539.0857259952,-6934.774613408314,-649.3717501563553,14.539397210360338
3029,3029,technosat,42829,59538.85409556702,2459539.354095567,-6931.872531259375,-680.0384488024339,14.531830609133197
3030,3030,technosat,42829,59539.055372731294,2459539.5553727318,-6929.607718107858,-703.0347859201877,14.536614936592484
3031,3031,technosat,42829,59539.055372731294,2459539.5553727318,-6929.607718107858,-703.0347859201877,14.536614936592484
3032,3032,technosat,42829,59539.592111805454,2459540.092111805,-6923.2063117861935,-764.2978272236212,14.515459844155872
3033,3033,technosat,42829,59539.92757364595,2459540.427573646,-6918.938693112739,-802.5594727727608,14.50917622128665
3034,3034,technosat,42829,59540.06175837945,2459540.5617583795,-6917.171004154525,-817.8589572891867,14.512988994310591
3035,3035,technosat,42829,59540.3301278702,2459540.83012787,-6913.535238996048,-848.4489394880196,14.500383038634697
3036,3036,technosat,42829,59540.59849740751,2459541.0984974075,-6909.767933304936,-879.0225945599194,14.492376195152683
3037,3037,technosat,42829,59540.59849740751,2459541.0984974075,-6909.767933304936,-879.0225945599194,14.492376195152683
3038,3038,technosat,42829,59540.866866886616,2459541.3668668866,-6905.871231372602,-909.5787889785734,14.495486675220793
3039,3039,technosat,42829,59541.06814399315,2459541.568143993,-6902.859595241266,-932.4807422087384,14.480144278391656
3040,3040,technosat,42829,59541.40360577544,2459541.9036057754,-6897.674155861461,-970.6302675305552,14.473860782761143
3041,3041,technosat,42829,59541.60488282424,2459542.104882824,-6894.461740357086,-993.5046277088296,14.4633572511198
3042,3042,technosat,42829,59541.60488282424,2459542.104882824,-6894.461740357086,-993.5046277088296,14.4633572511198
3043,3043,technosat,42829,59542.07452932885,2459542.574529329,-6886.680331761147,-1046.8439708710716,14.45319058920906
3044,3044,technosat,42829,59542.40999108786,2459542.909991088,-6880.869645993949,-1084.9175692855051,14.440690360167745
3045,3045,technosat,42829,59542.544175775256,2459543.0441757757,-6878.487774773535,-1100.1222676496575,14.444772876384643
3046,3046,technosat,42829,59542.544175775256,2459543.0441757757,-6878.487774773535,-1100.1222676496575,14.444772876384643
3047,3047,technosat,42829,59543.34928380791,2459543.849283808,-6863.507664106833,-1191.3225870662066,14.409727351703292
3048,3048,technosat,42829,59543.61765304394,2459544.117653044,-6858.246119874072,-1221.666815393992,14.390938267398305
3049,3049,technosat,42829,59543.61765304394,2459544.117653044,-6858.246119874072,-1221.666815393992,14.390938267398305
3050,3050,technosat,42829,59544.020206863526,2459544.5202068635,-6850.112423729616,-1267.1573028890027,14.381186359302266
3051,3051,technosat,42829,59544.42276055552,2459544.9227605555,-6841.676265421431,-1312.5813339531574,14.369095136834645
3052,3052,technosat,42829,59544.42276055552,2459544.9227605555,-6841.676265421431,-1312.5813339531574,14.369095136834645
3053,3053,technosat,42829,59545.09368303232,2459545.5936830323,-6826.963199138687,-1388.174771831684,14.340525861519309
3054,3054,technosat,42829,59545.36205189815,2459545.862051898,-6820.846342725418,-1418.3590490272757,14.332143362910362
3055,3055,technosat,42829,59545.36205189815,2459545.862051898,-6820.846342725418,-1418.3590490272757,14.332143362910362
3056,3056,technosat,42829,59545.89878938673,2459546.3987893867,-6808.219233184152,-1478.6748703299304,14.296862714173644
3057,3057,technosat,42829,59546.03297375003,2459546.53297375,-6804.984758539596,-1493.722856115843,14.305749863062236
3058,3058,technosat,42829,59546.43552658567,2459546.9355265857,-6795.066558882351,-1538.8664708697977,14.268620462199
3059,3059,technosat,42829,59546.43552658567,2459546.9355265857,-6795.066558882351,-1538.8664708697977,14.268620462199
3060,3060,technosat,42829,59547.10644791648,2459547.6064479165,-6777.890041569815,-1613.945395711164,14.24369058235759
3061,3061,technosat,42829,59547.44190814812,2459547.941908148,-6768.993968021766,-1651.4023461876889,14.226842074692351
3062,3062,technosat,42829,59547.57609238429,2459548.0760923843,-6765.380017262044,-1666.3806663073292,14.211873752259685
3063,3063,technosat,42829,59547.84446060192,2459548.344460602,-6758.051365065364,-1696.3097221364424,14.207417158433923
3064,3064,technosat,42829,59547.84446060192,2459548.344460602,-6758.051365065364,-1696.3097221364424,14.207417158433923
3065,3065,technosat,42829,59548.045736805536,2459548.545736805,-6752.4676979318265,-1718.731519613198,14.185496914884547
3066,3066,technosat,42829,59548.045736805536,2459548.545736805,-6752.4676979318265,-1718.731519613198,14.185496914884547
