,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
1650,1650,technosat,42829,59215.1742065046,2459215.6742065046,-3580.89675857743,-5974.853655518647,7.200409292226408,,,
1651,1651,technosat,42829,59215.24130847212,2459215.741308472,-3574.246771931199,-5978.845243547947,7.189199930584526,,,
1652,1652,technosat,42829,59215.24130847212,2459215.741308472,-3574.246771931199,-5978.845243547947,7.189199930584526,,,
1653,1653,technosat,42829,59215.71102167806,2459216.211021678,-3527.625106504404,-6006.551056116561,7.09852996440558,,,
1654,1654,technosat,42829,59215.91232731473,2459216.4123273147,-3507.57618063557,-6018.313683356589,7.057955674569244,,,
1655,1655,technosat,42829,59216.18073481461,2459216.6807348146,-3480.782095813905,-6033.9045226421085,7.013969859828884,,,
1656,1656,technosat,42829,59216.58334613405,2459217.083346134,-3440.470418112644,-6057.0622929209885,6.9337878000501485,,,
1657,1657,technosat,42829,59216.71754988423,2459217.217549884,-3426.995932507445,-6064.725003332103,6.906194777164674,,,
1658,1658,technosat,42829,59216.91885545151,2459217.4188554515,-3406.7567994171213,-6076.158972745634,6.863261836371439,,,
1659,1659,technosat,42829,59217.187262905296,2459217.6872629053,-3379.719678422575,-6091.304361711847,6.80710979904356,,,
1660,1660,technosat,42829,59217.3885685415,2459217.888568541,-3359.396220624845,-6102.587830369547,6.76634289866688,,,
1661,1661,technosat,42829,59217.58987408551,2459218.089874085,-3339.033853577992,-6113.800830295465,6.72692007489928,,,
1662,1662,technosat,42829,59217.72407771973,2459218.22407772,-3325.435443093465,-6121.2416417571085,6.701742205643298,,,
1663,1663,technosat,42829,59217.92538319435,2459218.4253831943,-3305.011757729868,-6132.344387031368,6.657364042874577,,,
1664,1664,technosat,42829,59218.19379048608,2459218.693790486,-3277.727763377308,-6147.04203155518,6.602204531539842,-3277.797533797248,-6147.1218452788025,5.601079054447906
1665,1665,technosat,42829,59218.395096018445,2459218.8950960184,-3257.2101304819544,-6157.995061880914,6.563981126775262,-3257.1057640104746,-6158.154830170472,5.537927499855344
1666,1666,technosat,42829,59218.59640141204,2459219.096401412,-3236.665627529488,-6168.873459105745,6.520396461298418,-3236.7079313074314,-6169.045863348606,6.578966741926034
1667,1667,technosat,42829,59218.66350317141,2459219.1635031714,-3229.812428051996,-6172.483358785658,6.499066075115994,-3229.557508945436,-6172.656432803291,5.80083201934524
1668,1668,technosat,42829,59219.13321571751,2459219.633215717,-3181.7050258323407,-6197.556765600496,6.412778607797751,-3181.767063881895,-6197.699747408164,5.716318558862879
