,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
4682,4682,terrasarx,31698,59220.37326785876,2459220.8732678588,-2065.8968303346646,-1475.060024487673,6393.290846222979,-2074.2737892914092,-1477.313907825206,6390.0828862537965
4683,4683,terrasarx,31698,59220.57262670156,2459221.0726267016,-3080.286268239392,-1715.8876265592337,5907.673271033923,-3086.8700916871917,-1717.2348601128551,5904.046204279436
4684,4684,terrasarx,31698,59220.89190045139,2459221.3919004514,3034.0571591737025,64.76862154352267,6173.448760108812,3024.8385364188266,61.259206339992076,6178.352647487119
4685,4685,terrasarx,31698,59221.15528387716,2459221.655283877,3082.7853921673363,96.80437774513736,6148.899689887495,3080.229531163901,95.72437514598515,6150.271873940243
4686,4686,terrasarx,31698,59221.361603692174,2459221.861603692,-2227.7656237974525,-1558.0746992636662,6318.77484778172,-2230.9636545130343,-1558.9910219100084,6317.723374662479
4687,4687,terrasarx,31698,59221.56035560183,2459222.060355602,-2886.768641869834,-1729.6830670743427,6000.249939633086,-2887.9403365699795,-1729.8149325189615,6000.019031613606
4688,4688,terrasarx,31698,59221.694958032575,2459222.1949580326,-4372.068889029934,-2054.995738128325,4901.154678577885,-4373.630896253636,-2055.2481630446596,4899.729120456884
4689,4689,terrasarx,31698,59221.8210891434,2459222.3210891434,-1253.2026425025906,-1313.1985339358275,6634.220581700626,-1256.7943903729356,-1314.3820813392153,6633.398136039427
4690,4690,terrasarx,31698,59222.01670450252,2459222.5167045025,-10.463797460206656,-943.754403212612,6812.613834204076,-7.399359464787058,-942.8989559055559,6813.0376516108145
4691,4691,terrasarx,31698,59222.548253553454,2459223.048253553,-2786.206890902572,-1760.4870074671364,6038.562725474164,-2782.081218849772,-1759.2513321879928,6041.280777342116
4692,4692,terrasarx,31698,59222.808977257,2459223.308977257,-1147.6648644239465,-1309.2534027996037,6654.080417949867,-1144.1414264997757,-1308.482352278414,6654.9334117931885
4693,4693,terrasarx,31698,59222.93781468738,2459223.4378146874,655.0524101528906,-722.5341611644499,6808.223477275098,656.8876215042346,-721.9126305701866,6808.457056069448
4694,4694,terrasarx,31698,59223.12804263877,2459223.628042639,4702.957665891063,926.6038977448092,4937.394185072631,4709.157744153073,929.726533216676,4931.272019817581
4695,4695,terrasarx,31698,59223.46563644661,2459223.9656364466,119.36775472201772,-907.4071210173475,6816.584109150199,128.10219560618432,-904.2774295124719,6817.335487110744
4696,4696,terrasarx,31698,59223.60182915488,2459224.101829155,-2573.134422738829,-1760.3689041212476,6132.3421097988285,-2563.890190797938,-1757.6291818135276,6137.4149332920115
4697,4697,terrasarx,31698,59223.73386269668,2459224.2338626967,-2736.7738554084995,-1813.5504674458475,6045.6220958425865,-2728.0839047020604,-1811.270295370349,6050.321551191642
4698,4698,terrasarx,31698,59223.921721932944,2459224.421721933,3091.1857948508487,249.9242999896409,6140.348185089001,3098.928640756782,252.7138960100418,6136.8824768552595
4699,4699,terrasarx,31698,59223.98771254625,2459224.4877125463,3023.7913492785165,224.6001442046908,6174.745663582396,3030.8682662077717,227.40589348439,6171.677555988595
4700,4700,terrasarx,31698,59224.05833888892,2459224.558338889,199.0870252389175,-881.0126764663772,6818.190808743401,190.1807673993238,-884.1810674486919,6818.297360486287
4701,4701,terrasarx,31698,59224.39606966451,2459224.8960696645,-4503.3327065918265,-2308.1320684255397,4664.792908102557,-4511.58297893863,-2309.862858864566,4655.9252950962145
4702,4702,terrasarx,31698,59224.46190033574,2459224.961900336,-4483.830514884945,-2309.532154630449,4682.811438961184,-4491.643297643321,-2311.0585378244223,4674.599108671085
4703,4703,terrasarx,31698,59224.79805415496,2459225.298054155,-6380.221490510731,-2496.003490088693,721.9776835629377,-6381.806571568256,-2494.564084909136,707.6934252699436
4704,4704,terrasarx,31698,59224.97991797468,2459225.4799179747,569.1986128979621,-742.4156490866944,6813.889790388224,554.4424664548013,-747.6716515115731,6814.730735527911
4705,4705,terrasarx,31698,59225.11143180542,2459225.6114318054,707.2192373864297,-688.1180095823166,6806.678464811817,698.0231752596258,-691.3542368112896,6807.436267508078
4706,4706,terrasarx,31698,59225.450029976666,2459225.9500299767,-4490.340317262263,-2396.5408775945143,4632.739246938924,-4497.113538996962,-2397.8896985959223,4625.353361590593
4707,4707,terrasarx,31698,59225.450029976666,2459225.9500299767,-4490.340317262263,-2396.5408775945143,4632.739246938924,-4497.113538996962,-2397.8896985959223,4625.353361590593
4708,4708,terrasarx,31698,59225.81787037058,2459226.3178703706,6182.0652639138425,2655.3902947669185,-1489.588097095021,6185.085448673206,2655.0822869365215,-1478.6982675048007
4709,4709,terrasarx,31698,59225.81787037058,2459226.3178703706,6182.0652639138425,2655.3902947669185,-1489.588097095021,6185.085448673206,2655.0822869365215,-1478.6982675048007
4710,4710,terrasarx,31698,59226.09952386562,2459226.5995238656,676.1834098076067,-693.6832779685749,6809.267676176912,672.0966598960094,-695.0018923978257,6809.57454083058
4711,4711,terrasarx,31698,59226.43825495383,2459226.938254954,-4537.526625816508,-2494.6950605024413,4534.202354808811,-4539.936538469429,-2495.1314069814016,4531.332287329757
4712,4712,terrasarx,31698,59226.43825495383,2459226.938254954,-4537.526625816508,-2494.6950605024413,4534.202354808811,-4539.936538469429,-2495.1314069814016,4531.332287329757
4713,4713,terrasarx,31698,59226.77393280109,2459227.273932801,-6274.849275239311,-2719.3781238212,827.8587198481085,-6275.202840841893,-2718.95859372236,823.7208658210266
