,Unnamed: 0,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
48,48,tandemx,36605,59237.36851111101,2459237.868511111,-2199.468624710757,-2380.31692854141,6067.796054282694,-2207.1553377433497,-2384.6594865387015,6063.5357694856275
49,49,tandemx,36605,59237.50644043973,2459238.00644044,-4809.870044806473,-3655.1849181705593,3301.353007498697,-4814.211702520608,-3656.619852227305,3294.2164351181295
50,50,tandemx,36605,59238.42584886588,2459238.925848866,-3758.7207751646833,-3289.0624815759315,4734.2575700655125,-3760.047909860466,-3289.7476077322513,4732.976259283233
51,51,tandemx,36605,59238.81484780088,2459239.314847801,-688.5023493743684,-1537.4066602399175,6668.448310052336,-688.5111511193279,-1537.5816056507288,6668.2386465751915
52,52,tandemx,36605,59238.81484780088,2459239.314847801,-688.5023493743684,-1537.4066602399175,6668.448310052336,-688.5111511193279,-1537.5816056507288,6668.2386465751915
53,53,tandemx,36605,59239.1374020488,2459239.637402049,2864.2505421696314,992.5546550368078,6175.202538803647,2862.07265079345,991.2021832552654,6176.1063467907015
54,54,tandemx,36605,59239.47870570608,2459239.978705706,-3259.139788329332,-3122.722279037448,5193.742938929467,-3261.1768274900455,-3123.5897964164083,5192.100009911481
55,55,tandemx,36605,59239.47870570608,2459239.978705706,-3259.139788329332,-3122.722279037448,5193.742938929467,-3261.1768274900455,-3123.5897964164083,5192.100009911481
56,56,tandemx,36605,59239.92359471042,2459240.4235947104,4528.741245280603,2491.535371316221,4544.208900157606,4526.815054441338,2489.5886397833456,4547.277192290945
57,57,tandemx,36605,59239.98734665522,2459240.487346655,5105.836215732045,3091.359172863356,3430.513249736875,5104.3345182875,3089.9845871216116,3434.065299817697
58,58,tandemx,36605,59239.98734665522,2459240.487346655,5105.836215732045,3091.359172863356,3430.513249736875,5104.3345182875,3089.9845871216116,3434.065299817697
59,59,tandemx,36605,59241.24488498829,2459241.7448849883,2961.473702717889,1210.4067708549803,6090.075316222004,2955.222775350031,1204.9229802862726,6094.02794610386
60,60,tandemx,36605,59241.45084122708,2459241.950841227,-1275.8801119611544,-2026.5213999795812,6448.192427544669,-1284.475228628738,-2032.190807890676,6444.716884088711
61,61,tandemx,36605,59241.79209531238,2459242.2920953124,-5394.775527320861,-4227.703122785785,691.3129706599897,-5396.922256349677,-4227.020607634886,676.5811141323684
62,62,tandemx,36605,59241.96867031232,2459242.4686703123,3278.08046330691,1541.756868023741,5848.829189138241,3268.498670827791,1533.2437249427333,5856.360952923837
63,63,tandemx,36605,59242.1057128706,2459242.6057128706,730.3680900912782,-572.9155458041787,6814.756077893444,726.0082437082858,-575.562439958678,6814.835507098033
64,64,tandemx,36605,59242.44487064797,2459242.944870648,-3925.367892316783,-3768.597800308125,4214.696245397873,-3929.091969980843,-3770.7186342761565,4209.45788570244
65,65,tandemx,36605,59242.44487064797,2459242.944870648,-3925.367892316783,-3768.597800308125,4214.696245397873,-3929.091969980843,-3770.7186342761565,4209.45788570244
66,66,tandemx,36605,59242.780758032575,2459243.2807580326,-5379.549862910441,-4294.622094040112,278.87676335117646,-5380.392556139498,-4294.0608711640125,270.9823309906596
67,67,tandemx,36605,59242.95239744196,2459243.452397442,4714.13972980524,3076.816193286022,3961.369900483008,4710.778550588091,3073.2195679028055,3968.043696907358
68,68,tandemx,36605,59243.09367710631,2459243.5936771063,772.4182663556657,-534.5686428372329,6813.24161529011,765.1035597586886,-539.3636288964956,6813.453586758205
69,69,tandemx,36605,59243.50018181698,2459244.000181817,-4327.411610336912,-4091.761563138176,3453.394893460698,-4332.687031031988,-4094.2106921711306,3443.938502347165
70,70,tandemx,36605,59243.50018181698,2459244.000181817,-4327.411610336912,-4091.761563138176,3453.394893460698,-4332.687031031988,-4094.2106921711306,3443.938502347165
71,71,tandemx,36605,59243.816775243264,2459244.3167752437,1504.783089251366,86.784458535465,6710.667010544627,1496.5621040862547,80.07515380425046,6712.380227992949
72,72,tandemx,36605,59243.94515383104,2459244.445153831,3045.0933725346013,1480.9308318470985,5988.401905975093,3038.957346608228,1475.0778204189294,5992.958422833453
73,73,tandemx,36605,59244.08072457183,2459244.580724572,1268.3909962892076,-109.73170049495889,6759.047238700922,1270.6582227069334,-106.74836138507753,6758.413794074017
74,74,tandemx,36605,59244.28581137722,2459244.785811377,-2429.947513692667,-3001.6146918723234,5694.345631640397,-2426.648160586298,-2999.6069398648983,5696.457877892976
75,75,tandemx,36605,59244.34989091428,2459244.8498909143,-1586.080003808033,-2398.490451382258,6249.409047799589,-1583.633348515048,-2396.86450876016,6250.274200519222
76,76,tandemx,36605,59244.34989091428,2459244.8498909143,-1586.080003808033,-2398.490451382258,6249.409047799589,-1583.633348515048,-2396.86450876016,6250.274200519222
77,77,tandemx,36605,59247.57767868042,2459248.0776786804,-1564.2881298533605,-2577.689710212392,6183.3260486681775,-1574.8110621294304,-2586.4229092654546,6176.7844419106705
78,78,tandemx,36605,59247.89543319447,2459248.3954331945,3599.867680054625,2426.4437937653934,5338.281940601871,3591.9365048927825,2417.0378427291257,5347.921295026392
79,79,tandemx,36605,59247.89543319447,2459248.3954331945,3599.867680054625,2426.4437937653934,5338.281940601871,3591.9365048927825,2417.0378427291257,5347.921295026392
80,80,tandemx,36605,59248.16124881944,2459248.6612488194,2718.963743530069,1467.0726892570783,6146.29496214163,2712.808616702878,1460.5662611327257,6150.283464503855
81,81,tandemx,36605,59248.5605587964,2459249.0605587964,903.3484975037956,-378.8476178379448,6807.660901790056,895.6810827508309,-386.25236997069135,6808.2256160397465
82,82,tandemx,36605,59248.5605587964,2459249.0605587964,903.3484975037956,-378.8476178379448,6807.660901790056,895.6810827508309,-386.25236997069135,6808.2256160397465
83,83,tandemx,36605,59248.89024837967,2459249.39024838,743.7518744480725,-533.4166184023233,6816.529125055389,732.8448976011016,-543.8989407324623,6816.620965094487
84,84,tandemx,36605,59248.89024837967,2459249.39024838,743.7518744480725,-533.4166184023233,6816.529125055389,732.8448976011016,-543.8989407324623,6816.620965094487
85,85,tandemx,36605,59249.14897377323,2459249.648973773,2812.9363462011,1646.66308807591,6058.126510257631,2807.207311787806,1640.4824940974252,6062.165881487148
86,86,tandemx,36605,59249.55430869199,2459250.054308692,-1731.522048536102,-2853.943115578264,6015.298624652853,-1738.9538854358227,-2860.488938533119,6010.13056546161
87,87,tandemx,36605,59249.55430869199,2459250.054308692,-1731.522048536102,-2853.943115578264,6015.298624652853,-1738.9538854358227,-2860.488938533119,6010.13056546161
88,88,tandemx,36605,59249.685045636725,2459250.1850456367,-1279.543852930393,-2463.0652457729507,6294.049560843157,-1287.0641213468648,-2470.1682414542065,6289.620483425369
89,89,tandemx,36605,59253.704737210646,2459254.20473721,-1825.1226237855649,-3269.7375330204704,5771.825575439632,-1830.7029544478498,-3275.5113459967415,5766.3671742748165
90,90,tandemx,36605,59253.704737210646,2459254.20473721,-1825.1226237855649,-3269.7375330204704,5771.825575439632,-1830.7029544478498,-3275.5113459967415,5766.3671742748165
91,91,tandemx,36605,59254.88510809047,2459255.3851080905,434.1833431176939,-886.5223829584569,6806.606536825409,425.5430713837165,-895.8612637465561,6805.573398410726
92,92,tandemx,36605,59255.20964657422,2459255.709646574,2346.4391559261817,1543.201191264337,6279.434299897964,2341.898806881362,1537.0843888414463,6282.333379546847
93,93,tandemx,36605,59255.54827951407,2459256.048279514,-1415.3661364941888,-3004.1564663361214,6024.752112758614,-1420.1950119422547,-3009.181914521727,6021.248273667607
94,94,tandemx,36605,59255.54827951407,2459256.048279514,-1415.3661364941888,-3004.1564663361214,6024.752112758614,-1420.1950119422547,-3009.181914521727,6021.248273667607
95,95,tandemx,36605,59255.874262627214,2459256.374262627,-21.199756228067876,-1446.8609825805197,6723.673247568487,-27.565382885304913,-1454.0728531782981,6722.22565886337
96,96,tandemx,36605,59255.874262627214,2459256.374262627,-21.199756228067876,-1446.8609825805197,6723.673247568487,-27.565382885304913,-1454.0728531782981,6722.22565886337
97,97,tandemx,36605,59256.20925023127,2459256.7092502317,-2241.113279748171,-3924.706831801623,5188.858525020961,-2242.6746593846096,-3926.629593380602,5186.854527233342
98,98,tandemx,36605,59256.53664519685,2459257.036645197,-1497.385844210527,-3174.549219891922,5916.692022177801,-1499.1030071443888,-3176.3070029740825,5915.769371353486
