,name,norad_id,mjd_t,jd_t,x_j2000_tle,y_j2000_tle,z_j2000_tle,x_j2000_ilrs_Akima,y_j2000_ilrs_Akima,z_j2000_ilrs_Akima
15,glonass-105,32276,58861.64586341428,2458862.1458634143,21017.607535616546,7586.859300843339,-12251.351897892277,21016.59960286751,7586.266566814951,-12249.885384648978
16,glonass-105,32276,58862.35840738425,2458862.8584073843,-21638.46379240897,-9255.889522163963,9902.19342910823,-21640.395321008637,-9256.38731208073,9902.42708276852
17,glonass-105,32276,58862.878052048385,2458863.3780520484,-19243.314904127343,-15868.576902027586,-5429.52509477315,-19244.90587858695,-15868.885466452857,-5429.276711725739
18,glonass-105,32276,58863.357653622515,2458863.8576536225,-17605.328352606535,-16408.102584405093,-8502.467872183,-17606.730074830062,-16408.34199924771,-8502.547688247569
19,glonass-105,32276,58865.21438121516,2458865.714381215,-20499.596219943578,-15029.073104265186,-2368.6896888047963,-20502.630792410007,-15028.272593302723,-2362.2334959272175
20,glonass-105,32276,58866.616815080866,2458867.116815081,-21026.178627942936,-14464.399243458642,-702.6201805980465,-21026.868577681227,-14464.951174165086,-701.3020382745584
21,glonass-105,32276,58866.65994414361,2458867.1599441436,-14120.369943160504,-16586.82231842799,-13293.445638215322,-14119.606388503013,-16586.944392507812,-13295.680697960657
22,glonass-105,32276,58867.077307870146,2458867.57730787,-21636.315858653918,-13402.61306059677,2024.4167349517768,-21638.60706455622,-13402.182876084486,2022.8662580838247
23,glonass-105,32276,58868.30329618044,2458868.8032961804,13844.254881339311,16541.22740655024,13596.863294838093,13843.175683623902,16540.254410709393,13597.248943993092
24,glonass-105,32276,58868.674233425874,2458869.174233426,19959.21022622841,5348.503204869981,-14912.599105264168,19956.72650385586,5343.96597576033,-14916.156528709367
25,glonass-105,32276,58869.147067997605,2458869.6470679976,20376.714818762815,6088.929692207259,-14038.105542747282,20375.589624017317,6086.748155530881,-14038.933160078277
26,glonass-105,32276,58869.40568807861,2458869.9056880786,-21964.63496607291,-10658.794515027288,7478.25050206198,-21965.90710409012,-10657.442752614994,7480.494556141666
27,glonass-105,32276,58870.56246031262,2458871.0624603126,21111.506821059695,7610.597446940768,-12071.0251920402,21110.6167775542,7608.20352973184,-12072.61886836006
28,glonass-105,32276,58870.56246031262,2458871.0624603126,21111.506821059695,7610.597446940768,-12071.0251920402,21110.6167775542,7608.20352973184,-12072.61886836006
29,glonass-105,32276,58871.20761939837,2458871.7076193984,-10657.411155491449,5023.09059211968,22644.881014376566,-10657.07228722745,5023.8203271832,22644.987614029644
30,glonass-105,32276,58871.70427724533,2458872.2042772453,-16851.91140230324,-964.6869057015668,19156.548903384486,-16852.3164588493,-962.9954412937948,19157.37358510921
31,glonass-105,32276,58872.57856678218,2458873.078566782,-273.22311250746577,11894.662404008552,22571.701159229568,-273.64373274244326,11894.251595694932,22571.844559375273
